window,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16798442667024,5.16798442667024,5.16798442667024,5.16798442667024,5.13705229227054,5.13705229227054,5.13705229227054,4.90778900532724,4.90366263654491,4.90366263654491,4.90366263654491,4.75747159475441,4.41172521038136,4.22088113047062,4.22088113047062,4.09166451926189
1,24.073481065316997,14.8121075051789,6.631417157637236,5.6326746676379145,5.1678993518872645,5.1678993518872645,5.1678993518872645,5.1678993518872645,5.136967217487565,5.136967217487565,5.136967217487565,4.907703930544265,4.90357756176193,4.90357756176193,4.90357756176193,4.757386519971435,4.411640135598385,4.220796055687645,4.220796055687645,4.091579444478915
2,24.073395990534,14.8120224303959,6.63133208285426,5.63258959285494,5.16781427710429,5.16781427710429,5.16781427710429,5.16781427710429,5.13688214270459,5.13688214270459,5.13688214270459,4.90761885576129,4.90349248697895,4.90349248697895,4.90349248697895,4.75730144518846,4.41155506081541,4.22071098090467,4.22071098090467,4.09149436969594
3,24.073395990534,14.8120224303959,6.63133208285426,5.63258959285494,5.16781427710429,5.16781427710429,5.16781427710429,5.16781427710429,5.13688214270459,5.13688214270459,5.13688214270459,4.90761885576129,4.90349248697895,4.90349248697895,4.90349248697895,4.75730144518846,4.41155506081541,4.22071098090467,4.22071098090467,4.09149436969594
4,24.073395990534,14.8120224303959,6.63133208285426,5.63258959285494,5.16781427710429,5.16781427710429,5.16781427710429,5.16781427710429,5.13688214270459,5.13688214270459,5.13688214270459,4.90761885576129,4.90349248697895,4.90349248697895,4.90349248697895,4.75730144518846,4.41155506081541,4.22071098090467,4.22071098090467,4.09149436969594
5,24.073395990534,14.8120224303959,6.63133208285426,5.63258959285494,5.16781427710429,5.16781427710429,5.16781427710429,5.16781427710429,5.13688214270459,5.13688214270459,5.13688214270459,4.90761885576129,4.90349248697895,4.90349248697895,4.90349248697895,4.75730144518846,4.41155506081541,4.22071098090467,4.22071098090467,4.09149436969594
6,24.073395990534,14.8120224303959,6.63133208285426,5.63258959285494,5.16781427710429,5.16781427710429,5.16781427710429,5.16781427710429,5.13688214270459,5.13688214270459,5.13688214270459,4.90761885576129,4.90349248697895,4.90349248697895,4.90349248697895,4.75730144518846,4.41155506081541,4.22071098090467,4.22071098090467,4.09149436969594
7,24.073481065316997,14.8121075051789,6.631417157637236,5.6326746676379145,5.1678993518872645,5.1678993518872645,5.1678993518872645,5.1678993518872645,5.136967217487565,5.136967217487565,5.136967217487565,4.907703930544265,4.90357756176193,4.90357756176193,4.90357756176193,4.757386519971435,4.411640135598385,4.220796055687645,4.220796055687645,4.091579444478915
8,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16798442667024,5.16798442667024,5.16798442667024,5.16798442667024,5.13705229227054,5.13705229227054,5.13705229227054,4.90778900532724,4.90366263654491,4.90366263654491,4.90366263654491,4.75747159475441,4.41172521038136,4.22088113047062,4.22088113047062,4.09166451926189
9,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.164305899786865,5.164305899786865,5.138988453181395,5.116355949691425,5.116355949691425,5.116355949691425,5.021262101383505,4.891164390712005,4.88910120632084,4.88910120632084,4.88910120632084,4.75747159475441,4.41172521038136,4.22088113047062,4.22088113047062,2.045832259630945
10,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87453977609677,4.87453977609677,4.87453977609677,4.87453977609677,4.87453977609677,4.75747159475441,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
11,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.8741195946321145,4.8741195946321145,4.8741195946321145,4.8741195946321145,4.74345723295429,4.66031253339326,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
12,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87369941316746,4.87369941316746,4.87369941316746,4.87369941316746,4.72944287115417,4.44608529068975,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
13,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87369941316746,4.87369941316746,4.87369941316746,4.87369941316746,4.72944287115417,4.44608529068975,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
14,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87369941316746,4.87369941316746,4.87369941316746,4.87369941316746,4.72944287115417,4.44608529068975,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
15,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87369941316746,4.87369941316746,4.87369941316746,4.87369941316746,4.72944287115417,4.44608529068975,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
16,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87369941316746,4.87369941316746,4.87369941316746,4.87369941316746,4.72944287115417,4.44608529068975,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
17,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87369941316746,4.87369941316746,4.87369941316746,4.87369941316746,4.72944287115417,4.44608529068975,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
18,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87369941316746,4.87369941316746,4.87369941316746,4.87369941316746,4.72944287115417,4.44608529068975,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
19,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87369941316746,4.87369941316746,4.87369941316746,4.87369941316746,4.72944287115417,4.44608529068975,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
20,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87369941316746,4.87369941316746,4.87369941316746,4.87369941316746,4.72944287115417,4.44608529068975,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
21,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87369941316746,4.87369941316746,4.87369941316746,4.87369941316746,4.72944287115417,4.44608529068975,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
22,24.0735661401,14.8121925799619,6.63150223242021,5.63275974242089,5.16062737290349,5.16062737290349,5.10999247969255,5.09565960711231,5.09565960711231,5.09565960711231,4.87369941316746,4.87369941316746,4.87369941316746,4.87369941316746,4.72944287115417,4.44608529068975,4.41172521038136,4.22088113047062,4.22088113047062,4.0714630731768
23,24.07365124509485,14.81227768495675,6.63158733741506,5.63284484741574,5.16071247789834,5.16071247789834,5.110077584687399,5.095744712107165,5.095744712107165,5.095744712107165,4.87378451816231,4.87378451816231,4.87378451816231,4.87378451816231,4.72952797614902,4.3986458460150395,4.209225687540711,4.209225687540711,4.060952558635085,2.223042645344875
24,24.0737363500897,14.8123627899516,6.63167244240991,5.63292995241059,5.16079758289319,5.16079758289319,5.11016268968225,5.09582981710202,5.09582981710202,5.09582981710202,4.87386962315716,4.87386962315716,4.87386962315716,4.87386962315716,4.72961308114387,4.38556648164872,4.1975702446108,4.1975702446108,4.05044204409337,4.05044204409337
25,24.073906650800502,14.812533090662399,6.631842743120715,5.633100253121395,5.160967883603995,5.160967883603995,5.110332990393054,5.0960001178128245,5.0960001178128245,5.0960001178128245,4.874039923867965,4.874039923867965,4.874039923867965,4.874039923867965,4.729783381854675,4.385736782359524,4.197740545321604,4.197740545321604,4.0506123448041755,4.0506123448041755
26,24.0740769515113,14.8127033913732,6.63201304383152,5.6332705538322,5.1611381843148,5.1611381843148,5.11050329110386,5.09617041852363,5.09617041852363,5.09617041852363,4.87421022457877,4.87421022457877,4.87421022457877,4.87421022457877,4.72995368256548,4.38590708307033,4.19791084603241,4.19791084603241,4.05078264551498,4.05078264551498
27,24.0740769515113,14.8127033913732,6.63201304383152,5.6332705538322,5.1611381843148,5.1611381843148,5.11050329110386,5.09617041852363,5.09617041852363,5.09617041852363,4.87421022457877,4.87421022457877,4.87421022457877,4.87421022457877,4.72995368256548,4.38590708307033,4.19791084603241,4.19791084603241,4.05078264551498,4.05078264551498
28,24.0740769515113,14.8127033913732,6.63201304383152,5.6332705538322,5.1611381843148,5.1611381843148,5.11050329110386,5.09617041852363,5.09617041852363,5.09617041852363,4.87421022457877,4.87421022457877,4.87421022457877,4.87421022457877,4.72995368256548,4.38590708307033,4.19791084603241,4.19791084603241,4.05078264551498,4.05078264551498
29,24.0740769515113,14.8127033913732,6.63201304383152,5.6332705538322,5.1611381843148,5.1611381843148,5.11050329110386,5.09617041852363,5.09617041852363,5.09617041852363,4.87421022457877,4.87421022457877,4.87421022457877,4.87421022457877,4.72995368256548,4.38590708307033,4.19791084603241,4.19791084603241,4.05078264551498,4.05078264551498
30,24.0740769515113,14.8127033913732,6.63201304383152,5.6332705538322,5.1611381843148,5.1611381843148,5.11050329110386,5.09617041852363,5.09617041852363,5.09617041852363,4.87421022457877,4.87421022457877,4.87421022457877,4.87421022457877,4.72995368256548,4.38590708307033,4.19791084603241,4.19791084603241,4.05078264551498,4.05078264551498
31,24.0739917860286,14.8126182258905,6.631927878348805,5.633185388349485,5.161053018832085,5.161053018832085,5.110418125621145,5.096085253040915,5.096085253040915,5.096085253040915,4.874125059096055,4.874125059096055,4.874125059096055,4.874125059096055,4.729868517082765,4.385821917587615,4.197825680549695,4.197825680549695,4.03955928267669,2.02539132275749
