,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,0.0,0.0,0.0,2995.8,4.8,0.0,0.0,0.0,98.0,0.0,123.4,0.0,0.0,0.0,2.4,0.0,0.4,0.0,11.4,0.4
38,0.0,0.0,0.0,3002.2,5.2,0.0,0.0,0.0,101.0,0.0,131.6,0.0,0.0,0.0,2.6,0.0,0.6000000000000001,0.0,11.6,0.6000000000000001
39,0.0,0.0,0.0,3008.6,5.6,0.0,0.0,0.0,104.0,0.0,139.8,0.0,0.0,0.0,2.8,0.0,0.8,0.0,11.8,0.8
40,0.0,0.0,0.0,3015.0,6.0,0.0,0.0,0.0,107.0,0.0,148.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,12.0,1.0
41,0.0,0.0,0.0,3020.8,6.6,0.0,0.0,0.0,110.4,0.0,157.8,0.0,0.2,0.0,3.4,0.0,1.0,0.0,12.4,1.2
42,0.0,0.0,0.0,3026.6,7.2,0.0,0.0,0.0,113.8,0.0,167.6,0.0,0.4,0.0,3.8,0.0,1.0,0.0,12.8,1.4
43,0.0,0.0,0.0,3032.4,7.8,0.0,0.0,0.0,117.2,0.0,177.4,0.0,0.6000000000000001,0.0,4.2,0.0,1.0,0.0,13.2,1.6
44,0.0,0.0,0.0,3038.2,8.4,0.0,0.0,0.0,120.6,0.0,187.2,0.0,0.8,0.0,4.6,0.0,1.0,0.0,13.6,1.8
45,0.0,0.0,0.0,3044.0,9.0,0.0,0.0,0.0,124.0,0.0,197.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,14.0,2.0
46,0.0,0.0,0.0,3049.6,9.4,0.0,0.0,0.0,128.2,0.0,204.2,0.0,1.0,0.0,6.0,0.0,1.0,0.0,14.6,2.0
47,0.0,0.0,0.0,3055.2,9.8,0.0,0.0,0.0,132.4,0.0,211.4,0.0,1.0,0.0,7.0,0.0,1.0,0.0,15.2,2.0
48,0.0,0.0,0.0,3060.8,10.2,0.0,0.0,0.0,136.6,0.0,218.6,0.0,1.0,0.0,8.0,0.0,1.0,0.0,15.8,2.0
49,0.0,0.0,0.0,3066.4,10.6,0.0,0.0,0.0,140.8,0.0,225.8,0.0,1.0,0.0,9.0,0.0,1.0,0.0,16.4,2.0
50,0.0,0.0,0.0,3072.0,11.0,0.0,0.0,0.0,145.0,0.0,233.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,17.0,2.0
51,0.0,0.0,0.0,3077.6,12.6,0.0,0.0,0.0,154.8,0.0,259.6,0.0,1.4,0.0,11.4,0.0,1.2,0.0,17.8,2.2
52,0.0,0.0,0.0,3083.2,14.2,0.0,0.0,0.0,164.6,0.0,286.2,0.0,1.8,0.0,12.8,0.0,1.4,0.0,18.6,2.4
