,window,level_1,0
2851,16,3,4
2852,16,4,5
2853,16,5,7
2854,16,6,6
2855,16,7,20
2856,16,8,8
2857,16,9,9
2858,16,10,10
2859,16,11,11
2860,16,12,12
2861,16,13,13
2862,16,14,14
2863,16,15,15
2864,16,16,16
2865,16,17,17
2866,16,18,18
2867,16,19,19
3026,17,0,1
3027,17,1,2
3028,17,2,3
3029,17,3,4
3030,17,4,5
3031,17,5,7
3032,17,6,6
3033,17,7,20
3034,17,8,8
3035,17,9,9
3036,17,10,10
3037,17,11,11
3038,17,12,12
3039,17,13,13
3040,17,14,15
3041,17,15,14
3042,17,16,16
3043,17,17,17
3044,17,18,18
3045,17,19,19
3204,18,0,1
3205,18,1,2
3206,18,2,3
3207,18,3,4
3208,18,4,5
3209,18,5,7
3210,18,6,6
3211,18,7,20
3212,18,8,8
3213,18,9,9
3214,18,10,10
3215,18,11,11
3216,18,12,12
3217,18,13,13
3218,18,14,15
3219,18,15,14
3220,18,16,16
3221,18,17,17
3222,18,18,18
3223,18,19,19
3382,19,0,1
3383,19,1,2
3384,19,2,3
3385,19,3,4
3386,19,4,5
3387,19,5,7
3388,19,6,6
3389,19,7,20
3390,19,8,8
3391,19,9,9
3392,19,10,10
3393,19,11,11
3394,19,12,12
3395,19,13,13
3396,19,14,15
3397,19,15,14
3398,19,16,16
3399,19,17,17
3400,19,18,18
3401,19,19,19
3560,20,0,1
3561,20,1,2
3562,20,2,3
3563,20,3,4
3564,20,4,5
3565,20,5,7
3566,20,6,6
3567,20,7,20
3568,20,8,8
3569,20,9,9
3570,20,10,10
3571,20,11,11
3572,20,12,12
3573,20,13,13
3574,20,14,15
3575,20,15,14
3576,20,16,16
3577,20,17,17
3578,20,18,18
3579,20,19,19
3738,21,0,1
3739,21,1,2
3740,21,2,3
3741,21,3,4
3742,21,4,5
3743,21,5,7
3744,21,6,6
3745,21,7,20
3746,21,8,8
3747,21,9,9
3748,21,10,10
3749,21,11,11
3750,21,12,12
3751,21,13,13
3752,21,14,15
3753,21,15,14
3754,21,16,16
3755,21,17,17
3756,21,18,18
3757,21,19,19
3916,22,0,1
3917,22,1,2
3918,22,2,3
3919,22,3,4
3920,22,4,5
3921,22,5,7
3922,22,6,6
3923,22,7,20
3924,22,8,8
3925,22,9,9
3926,22,10,10
3927,22,11,11
3928,22,12,12
3929,22,13,13
3930,22,14,15
3931,22,15,14
3932,22,16,16
3933,22,17,17
3934,22,18,18
3935,22,19,19
4094,23,0,1
4095,23,1,2
4096,23,2,3
4097,23,3,4
4098,23,4,5
4099,23,5,7
4100,23,6,6
4101,23,7,20
4102,23,8,8
4103,23,9,9
4104,23,10,10
4105,23,11,11
4106,23,12,12
4107,23,13,13
4108,23,14,15
4109,23,15,14
4110,23,16,16
4111,23,17,17
4112,23,18,18
4113,23,19,19
4272,24,0,1
4273,24,1,2
4274,24,2,3
4275,24,3,4
4276,24,4,5
4277,24,5,7
4278,24,6,6
4279,24,7,20
4280,24,8,8
4281,24,9,9
4282,24,10,10
4283,24,11,11
4284,24,12,12
4285,24,13,13
4286,24,14,15
4287,24,15,14
4288,24,16,16
4289,24,17,17
4290,24,18,18
4291,24,19,19
4450,25,0,1
4451,25,1,2
4452,25,2,3
4453,25,3,4
4454,25,4,5
4455,25,5,7
4456,25,6,6
4457,25,7,20
4458,25,8,8
4459,25,9,9
4460,25,10,10
4461,25,11,11
4462,25,12,12
4463,25,13,13
4464,25,14,15
4465,25,15,14
4466,25,16,16
4467,25,17,17
4468,25,18,18
4469,25,19,19
4628,26,0,1
4629,26,1,2
4630,26,2,3
4631,26,3,4
4632,26,4,5
4633,26,5,7
4634,26,6,6
4635,26,7,20
4636,26,8,8
4637,26,9,9
4638,26,10,10
4639,26,11,11
4640,26,12,12
4641,26,13,13
4642,26,14,16
4643,26,15,14
4644,26,16,15
4645,26,17,17
4646,26,18,18
4647,26,19,19
4806,27,0,1
4807,27,1,2
4808,27,2,3
4809,27,3,4
4810,27,4,5
4811,27,5,7
4812,27,6,6
4813,27,7,20
4814,27,8,8
4815,27,9,9
4816,27,10,10
4817,27,11,11
4818,27,12,12
4819,27,13,13
4820,27,14,16
4821,27,15,14
4822,27,16,15
4823,27,17,17
4824,27,18,18
4825,27,19,19
4984,28,0,1
4985,28,1,2
4986,28,2,3
4987,28,3,4
4988,28,4,5
4989,28,5,7
4990,28,6,6
4991,28,7,20
4992,28,8,8
4993,28,9,9
4994,28,10,10
4995,28,11,11
4996,28,12,12
4997,28,13,13
4998,28,14,16
4999,28,15,14
5000,28,16,15
5001,28,17,17
5002,28,18,18
5003,28,19,19
5162,29,0,1
5163,29,1,2
5164,29,2,3
5165,29,3,4
5166,29,4,5
5167,29,5,7
5168,29,6,6
5169,29,7,20
5170,29,8,8
5171,29,9,9
5172,29,10,10
5173,29,11,11
5174,29,12,12
5175,29,13,13
5176,29,14,16
5177,29,15,14
5178,29,16,15
5179,29,17,17
5180,29,18,18
5181,29,19,19
5340,30,0,1
5341,30,1,2
5342,30,2,3
5343,30,3,4
5344,30,4,5
5345,30,5,7
5346,30,6,6
5347,30,7,20
5348,30,8,8
5349,30,9,9
5350,30,10,10
5351,30,11,11
5352,30,12,12
5353,30,13,13
5354,30,14,16
5355,30,15,14
5356,30,16,15
5357,30,17,17
5358,30,18,18
5359,30,19,19
5518,31,0,1
5519,31,1,2
5520,31,2,3
5521,31,3,4
5522,31,4,5
5523,31,5,7
5524,31,6,6
5525,31,7,20
5526,31,8,8
5527,31,9,9
5528,31,10,10
5529,31,11,11
5530,31,12,12
5531,31,13,13
5532,31,14,16
5533,31,15,14
5534,31,16,15
5535,31,17,17
5536,31,18,18
5537,31,19,19
5696,32,0,1
5697,32,1,2
5698,32,2,3
5699,32,3,4
5700,32,4,5
5701,32,5,7
5702,32,6,6
5703,32,7,20
5704,32,8,8
5705,32,9,9
5706,32,10,10
5707,32,11,11
5708,32,12,12
5709,32,13,13
5710,32,14,16
5711,32,15,14
5712,32,16,15
5713,32,17,17
5714,32,18,18
5715,32,19,19
5874,33,0,1
5875,33,1,2
5876,33,2,3
5877,33,3,4
5878,33,4,5
5879,33,5,7
5880,33,6,6
5881,33,7,20
5882,33,8,8
5883,33,9,9
5884,33,10,10
5885,33,11,11
5886,33,12,12
5887,33,13,13
5888,33,14,16
5889,33,15,14
5890,33,16,15
5891,33,17,17
5892,33,18,18
5893,33,19,19
6052,34,0,1
6053,34,1,2
6054,34,2,3
6055,34,3,4
6056,34,4,5
6057,34,5,7
6058,34,6,6
6059,34,7,20
6060,34,8,8
6061,34,9,9
6062,34,10,10
6063,34,11,11
6064,34,12,12
6065,34,13,13
6066,34,14,16
6067,34,15,14
6068,34,16,15
6069,34,17,17
6070,34,18,18
6071,34,19,19
6230,35,0,1
6231,35,1,2
6232,35,2,3
6233,35,3,4
6234,35,4,5
6235,35,5,7
6236,35,6,6
6237,35,7,20
6238,35,8,8
6239,35,9,9
6240,35,10,10
6241,35,11,11
6242,35,12,12
6243,35,13,13
6244,35,14,16
6245,35,15,14
6246,35,16,15
6247,35,17,17
6248,35,18,18
6249,35,19,19
6408,36,0,1
6409,36,1,2
6410,36,2,3
6411,36,3,4
6412,36,4,5
6413,36,5,7
6414,36,6,6
6415,36,7,20
6416,36,8,8
6417,36,9,9
6418,36,10,10
6419,36,11,11
6420,36,12,12
6421,36,13,13
6422,36,14,16
6423,36,15,14
6424,36,16,15
6425,36,17,17
6426,36,18,18
6427,36,19,19
6586,37,0,1
6587,37,1,2
6588,37,2,3
6589,37,3,4
6590,37,4,5
6591,37,5,7
6592,37,6,6
6593,37,7,19
6594,37,8,8
6595,37,9,9
6596,37,10,10
6597,37,11,14
6598,37,12,11
6599,37,13,15
6601,37,15,12
6602,37,16,13
6603,37,17,16
6604,37,18,17
6605,37,19,18
6607,37,21,20
6764,38,0,1
6765,38,1,2
6766,38,2,3
6767,38,3,4
6768,38,4,5
6769,38,5,7
6770,38,6,6
6771,38,7,19
6772,38,8,8
6773,38,9,9
6774,38,10,10
6775,38,11,14
6776,38,12,11
6777,38,13,15
6779,38,15,12
6780,38,16,13
6781,38,17,16
6782,38,18,17
6783,38,19,18
6785,38,21,20
6942,39,0,1
6943,39,1,2
6944,39,2,3
6945,39,3,4
6946,39,4,5
6947,39,5,7
6948,39,6,6
6949,39,7,19
6950,39,8,8
6951,39,9,9
6952,39,10,10
6953,39,11,14
6954,39,12,11
6955,39,13,15
6957,39,15,12
6958,39,16,13
6959,39,17,16
6960,39,18,17
6961,39,19,18
6963,39,21,20
7120,40,0,1
7121,40,1,2
7122,40,2,3
7123,40,3,4
7124,40,4,5
7125,40,5,7
7126,40,6,6
7127,40,7,19
7128,40,8,8
7129,40,9,9
7130,40,10,10
7131,40,11,14
7132,40,12,11
7133,40,13,15
7135,40,15,12
7136,40,16,13
7137,40,17,16
7138,40,18,17
7139,40,19,18
7141,40,21,20
7298,41,0,1
7299,41,1,2
7300,41,2,3
7301,41,3,4
7302,41,4,5
7303,41,5,7
7304,41,6,6
7305,41,7,19
7306,41,8,8
7307,41,9,9
7308,41,10,10
7309,41,11,14
7310,41,12,11
7311,41,13,15
7313,41,15,12
7314,41,16,13
7315,41,17,16
7316,41,18,17
7317,41,19,18
7319,41,21,20
7476,42,0,1
7477,42,1,2
7478,42,2,3
7479,42,3,4
7480,42,4,5
7481,42,5,7
7482,42,6,6
7483,42,7,19
7484,42,8,8
7485,42,9,9
7486,42,10,10
7487,42,11,14
7488,42,12,11
7489,42,13,15
7491,42,15,12
7492,42,16,13
7493,42,17,16
7494,42,18,17
7495,42,19,18
7497,42,21,20
7654,43,0,1
7655,43,1,2
7656,43,2,3
7657,43,3,4
7658,43,4,5
7659,43,5,7
7660,43,6,6
7661,43,7,19
7662,43,8,8
7663,43,9,9
7664,43,10,10
7665,43,11,14
7666,43,12,11
7667,43,13,15
7669,43,15,12
7670,43,16,13
7671,43,17,16
7672,43,18,17
7673,43,19,18
7675,43,21,20
7832,44,0,1
7833,44,1,2
7834,44,2,3
7835,44,3,4
7836,44,4,5
7837,44,5,7
7838,44,6,6
7839,44,7,19
7840,44,8,8
7841,44,9,9
7842,44,10,10
7843,44,11,14
7844,44,12,11
7845,44,13,15
7847,44,15,12
7848,44,16,13
7849,44,17,16
7850,44,18,17
7851,44,19,18
7853,44,21,20
8010,45,0,1
8011,45,1,2
8012,45,2,3
8013,45,3,4
8014,45,4,5
8015,45,5,7
8016,45,6,6
8017,45,7,19
8018,45,8,8
8019,45,9,9
8020,45,10,10
8021,45,11,14
8022,45,12,11
8023,45,13,15
8025,45,15,12
8026,45,16,13
8027,45,17,16
8028,45,18,17
8029,45,19,18
8031,45,21,20
8188,46,0,1
8189,46,1,2
8190,46,2,3
8191,46,3,4
8192,46,4,5
8193,46,5,7
8194,46,6,6
8195,46,7,19
8196,46,8,8
8197,46,9,9
8198,46,10,10
8199,46,11,14
8200,46,12,11
8201,46,13,15
8203,46,15,12
8204,46,16,13
8205,46,17,16
8206,46,18,17
8207,46,19,18
8209,46,21,20
8366,47,0,1
8367,47,1,2
8368,47,2,3
8369,47,3,4
8370,47,4,5
8371,47,5,7
8372,47,6,6
8374,47,8,8
8375,47,9,9
8376,47,10,10
8377,47,11,14
8378,47,12,11
8379,47,13,15
8381,47,15,12
8382,47,16,13
8383,47,17,16
8384,47,18,17
8385,47,19,18
8387,47,21,19
8388,47,22,20
8544,48,0,1
8545,48,1,2
8546,48,2,3
8547,48,3,4
8548,48,4,5
8549,48,5,7
8550,48,6,6
8552,48,8,8
8553,48,9,9
8554,48,10,10
8555,48,11,14
8556,48,12,11
8557,48,13,15
8559,48,15,12
8560,48,16,13
8561,48,17,16
8562,48,18,17
8563,48,19,18
8565,48,21,19
8566,48,22,20
8722,49,0,1
8723,49,1,2
8724,49,2,3
8725,49,3,4
8726,49,4,5
8727,49,5,7
8728,49,6,6
8730,49,8,8
8731,49,9,9
8732,49,10,10
8733,49,11,14
8734,49,12,11
8735,49,13,15
8737,49,15,12
8738,49,16,13
8739,49,17,16
8740,49,18,17
8741,49,19,18
8743,49,21,19
8744,49,22,20
8900,50,0,1
8901,50,1,2
8902,50,2,3
8903,50,3,4
8904,50,4,5
8905,50,5,7
8906,50,6,6
8908,50,8,8
8909,50,9,9
8910,50,10,10
8911,50,11,14
8912,50,12,11
8913,50,13,15
8915,50,15,12
8916,50,16,13
8917,50,17,16
8918,50,18,17
8919,50,19,18
8921,50,21,19
8922,50,22,20
9078,51,0,1
9079,51,1,2
9080,51,2,3
9081,51,3,4
9082,51,4,5
9083,51,5,7
9084,51,6,6
9086,51,8,8
9087,51,9,9
9088,51,10,10
9089,51,11,14
9090,51,12,11
9091,51,13,15
9093,51,15,12
9094,51,16,13
9095,51,17,16
9096,51,18,17
9097,51,19,18
9099,51,21,19
9100,51,22,20
9256,52,0,1
9257,52,1,2
9258,52,2,3
9259,52,3,4
9260,52,4,5
9261,52,5,7
9262,52,6,6
9264,52,8,8
9265,52,9,9
9266,52,10,10
9267,52,11,14
9268,52,12,11
9269,52,13,15
9271,52,15,12
9272,52,16,13
9273,52,17,16
9274,52,18,17
9275,52,19,18
9277,52,21,19
9278,52,22,20
9434,53,0,1
9435,53,1,2
9436,53,2,3
9437,53,3,4
9438,53,4,5
9439,53,5,7
9440,53,6,6
9442,53,8,8
9443,53,9,9
9444,53,10,10
9445,53,11,14
9446,53,12,11
9447,53,13,15
9449,53,15,12
9450,53,16,13
9451,53,17,16
9452,53,18,17
9453,53,19,18
9455,53,21,19
9456,53,22,20
9612,54,0,1
9613,54,1,2
9614,54,2,3
9615,54,3,4
9616,54,4,5
9617,54,5,7
9618,54,6,6
9620,54,8,8
9621,54,9,9
9622,54,10,10
9623,54,11,14
9624,54,12,11
9625,54,13,15
9627,54,15,12
9628,54,16,13
9629,54,17,16
9630,54,18,17
9631,54,19,18
9633,54,21,19
9634,54,22,20
9790,55,0,1
9791,55,1,2
9792,55,2,3
9793,55,3,4
9794,55,4,5
9795,55,5,7
9796,55,6,6
9797,55,7,19
9798,55,8,8
9799,55,9,9
9800,55,10,10
9801,55,11,14
9802,55,12,11
9803,55,13,15
9805,55,15,12
9806,55,16,13
9807,55,17,16
9808,55,18,17
9809,55,19,18
9811,55,21,20
9968,56,0,1
9969,56,1,2
9970,56,2,3
9971,56,3,4
9972,56,4,5
9973,56,5,7
9974,56,6,6
9975,56,7,18
9976,56,8,8
9977,56,9,9
9978,56,10,10
9979,56,11,14
9980,56,12,11
9983,56,15,12
9984,56,16,13
9985,56,17,15
9986,56,18,16
9987,56,19,17
9989,56,21,19
9990,56,22,20
10146,57,0,1
10147,57,1,2
10148,57,2,3
10149,57,3,4
10150,57,4,5
10151,57,5,7
10152,57,6,6
10153,57,7,18
10154,57,8,8
10155,57,9,9
10156,57,10,10
10157,57,11,17
10158,57,12,11
10161,57,15,12
10162,57,16,13
10163,57,17,14
10164,57,18,15
10165,57,19,16
10167,57,21,19
10168,57,22,20
10324,58,0,1
10325,58,1,2
10326,58,2,3
10327,58,3,4
10328,58,4,5
10329,58,5,7
10330,58,6,6
10331,58,7,18
10332,58,8,8
10333,58,9,9
10334,58,10,10
10335,58,11,17
10336,58,12,11
10339,58,15,12
10340,58,16,13
10341,58,17,14
10342,58,18,15
10343,58,19,16
10345,58,21,19
10346,58,22,20
10502,59,0,1
10503,59,1,2
10504,59,2,3
10505,59,3,4
10506,59,4,5
10507,59,5,7
10508,59,6,6
10509,59,7,18
10510,59,8,8
10511,59,9,9
10512,59,10,10
10513,59,11,17
10514,59,12,11
10517,59,15,12
10518,59,16,13
10519,59,17,14
10520,59,18,15
10521,59,19,16
10523,59,21,19
10524,59,22,20
10680,60,0,1
10681,60,1,2
10682,60,2,3
10683,60,3,4
10684,60,4,5
10685,60,5,7
10686,60,6,6
10688,60,8,8
10689,60,9,9
10690,60,10,10
10691,60,11,17
10692,60,12,11
10695,60,15,12
10696,60,16,13
10697,60,17,14
10698,60,18,15
10699,60,19,16
10701,60,21,18
10702,60,22,19
10703,60,23,20
10858,61,0,1
10859,61,1,2
10860,61,2,3
10861,61,3,4
10862,61,4,5
10863,61,5,7
10864,61,6,6
